,Unnamed: 0,Datetime,Tweet Id,Text,Username,Clean,Language
75,75,2023-01-28 03:14:44+00:00,1619172093781999619,"@pcogovph GDP growth is misleading. But how about inflation, wages, dollar reserves &amp; output of productive sectors? And it's not recovery, but rebound. We're just back to 2019 levels.",JaypeeSpeaks,GDP growth misleading But inflation wages dollar reserves output productive sectors And it's recovery rebound We're levels,en
76,76,2023-01-28 03:07:04+00:00,1619170164720680961,"Trigger warning: Suicide

When the state of the economy heightens tendencies of self-destructive behavior, the Marcos administration cannot afford an inflation of hopelessness. https://t.co/lJ9U0Z98MP",rapplerdotcom,Trigger warning: SuicideWhen state economy heightens tendencies self-destructive behavior Marcos administration afford inflation hopelessness,en
77,77,2023-01-28 03:07:04+00:00,1619170164561305600,"Trigger warning: Suicide

When the state of the economy heightens tendencies of self-destructive behavior, the Marcos administration cannot afford an inflation of hopelessness. https://t.co/wZY0meuCMh",newsbreakph,Trigger warning: SuicideWhen state economy heightens tendencies self-destructive behavior Marcos administration afford inflation hopelessness,en
78,78,2023-01-28 03:04:51+00:00,1619169606639456256,"When the state of the economy heightens tendencies of self-destructive behavior, the Marcos administration cannot afford an inflation of hopelessness

TRIGGER WARNING: This article contains references to suicide

https://t.co/qV4JF8oOTW",RalfRivas,When state economy heightens tendencies self-destructive behavior Marcos administration afford inflation hopelessnessTRIGGER WARNING: This article contains references suicide,en
79,79,2023-01-28 02:59:57+00:00,1619168372813598722,"The BSP has vowed to continue hiking its key policy rates “as necessary” to help prevent a further increase in the second-round effects of the elevated inflation rate.

https://t.co/O6g3WnWsI1",pnagovph,The BSP vowed continue hiking key policy rates necessary help prevent increase second-round effects elevated inflation rate,en
81,81,2023-01-28 02:51:11+00:00,1619166166152540161,"@mongramosjr @ManuelPSev Mainly reopening, normalization back to pre-pandemic levels, likely boosted by revenge spending in the short term which may fizzle out soon in the face of inflation. I am still hopeful that Filipino enterprise will overcome the challenges and obstacles.",EnricoPatiga,Mainly reopening normalization pre-pandemic levels likely boosted revenge spending short term fizzle soon face inflation I hopeful Filipino enterprise overcome challenges obstacles,en
82,82,2023-01-28 02:20:16+00:00,1619158387044024321,"Bloomberg: Car Repossessions Grow as Inflation Slams Consumers
https://t.co/xwsziXlUC6",AldrinZigmundV,Bloomberg: Car Repossessions Grow Inflation Slams Consumers,en
83,83,2023-01-28 01:43:29+00:00,1619149131716653057,"@maryinct33 @greg_price11 Is that something you heard on CNN?  GOOGLE BEFORE YOU SPEAK.  You're spreading lies.

Oh!  And printing money is what causes inflation...not what you heard Biden say.  (Corporate greed is causing inflation)

This is not a democratic country either.",DrainTheSenate,Is heard CNN GOOGLE BEFORE YOU SPEAK You're spreading lies Oh And printing money causes inflation heard Biden (Corporate greed causing inflation)This democratic country,en
84,84,2023-01-28 01:36:48+00:00,1619147449289052160,"@LindseyGrahamSC The RNC needed a change of leadership after grossly underperforming in the last election, even though they had everything going for them, unpopular prez, a bad economy, &amp; inflation.  McDaniel is a loser.",joewp1,The RNC needed change leadership grossly underperforming election going unpopular prez bad economy inflation McDaniel loser,en
85,85,2023-01-28 01:15:28+00:00,1619142077434195968,"While President Ferdinand “Bongbong” Marcos Jr. is elated following reports of the country’s 7.6 percent annual growth in 2022, he admitted that “inflation” keeps the nation from enjoying the benefits of the country’s growth.

Full story: https://t.co/9RHAYNKdkQ",tribunephl,While President Ferdinand Bongbong Marcos Jr elated following reports countrys percent annual growth admitted inflation keeps nation enjoying benefits countrys growth Full story:,en
